"","x"
"1","Alectorobius camicasi"
"2","Alectorobius capensis"
"3","Alectorobius sonrai"
"4","Allectrobius capensis"
"5","Amblomma"
"6","Ambloymma hebraeum"
"7","Ambloyomma variegatum"
"8","Amblyloma variegatum"
"9","Amblyomma"
"10","Amblyomma compressum"
"11","Amblyomma gemma"
"12","Amblyomma habraeum"
"13","Amblyomma hebraem"
"14","Amblyomma hebraeum"
"15","Amblyomma lepidum"
"16","Amblyomma maculatum"
"17","Amblyomma paulopunctatum"
"18","Amblyomma splendidum"
"19","Amblyomma tholloni"
"20","Amblyomma variegatum"
"21","Amblyomma Variegatum"
"22","Ambylomma"
"23","Ambylomma gemma"
"24","Ambylomma habraeum"
"25","Ambylomma lepidum"
"26","Ambylomma maculatum"
"27","Ambylomma pomposum"
"28","Ambylomma variegatum"
"29","Ambylomma."
"30","Amlyomma variegatum"
"31","Aponomma arcanum"
"32","Aponomma flavomaculatum"
"33","Aponomma transversale"
"34","Argas"
"35","Argas persicus"
"36","Argas Persicus"
"37","Argas streptopelia"
"38","Argas walkarae"
"39","Argas walkerae"
"40","Arnblyornma vurieguturn"
"41","Boophilius decolouratus"
"42","Boophilus"
"43","Boophilus annulatu"
"44","Boophilus annulatus"
"45","Boophilus decolaratus"
"46","Boophilus decoloratus"
"47","Boophilus Decoloratus"
"48","Boophilus geigeyi"
"49","Boophilus geigi"
"50","Boophilus geigyi"
"51","Boophilus geigyii"
"52","Boophilus microples"
"53","Boophilus microplus"
"54","Boophilus neoroplus"
"55","Boopphilus geigyi"
"56","Carios vespertilionis"
"57","Carlos vespertilionis"
"58","Dermacentor andersoni"
"59","Dermacentor circumguttatus"
"60","Dermacentor reticulatus"
"61","Dermacentor variabilis"
"62","Haemaphisalis"
"63","Haemaphyalis leachii"
"64","Haemaphysalia leachii"
"65","Haemaphysalis"
"66","Haemaphysalis aciculifer"
"67","Haemaphysalis elliptica"
"68","Haemaphysalis histricis"
"69","Haemaphysalis hoodi"
"70","Haemaphysalis hoodi hoodi"
"71","Haemaphysalis houyi"
"72","Haemaphysalis laechi"
"73","Haemaphysalis leachi"
"74","Haemaphysalis leachi leachi"
"75","Haemaphysalis leachii"
"76","Haemaphysalis leachii leachii"
"77","Haemaphysalis longicornis"
"78","Haemaphysalis muhsami"
"79","Haemaphysalis paraleachi"
"80","Haemaphysalis parmata"
"81","Haemaphysalis punctata"
"82","Haemaphysalus leachii"
"83","Haemophysalis"
"84","Haemophysalis laechi"
"85","Haemophysalis leachi"
"86","Haemophysalis leachi leachi"
"87","Haemphy salisshoodi"
"88","Hemaphysalis parmata"
"89","Hyalomma"
"90","Hyalomma albiparmatum"
"91","Hyalomma dromedaeii"
"92","Hyalomma dromedari"
"93","Hyalomma dromedarii"
"94","Hyalomma excavatum"
"95","Hyalomma impeltatum"
"96","Hyalomma impressum"
"97","Hyalomma marginatum"
"98","Hyalomma marginatum rufipes"
"99","Hyalomma marginatumrufipes"
"100","Hyalomma nitidium"
"101","Hyalomma nitidum"
"102","Hyalomma ruficipes"
"103","Hyalomma rufipes"
"104","Hyalomma rufipeS"
"105","Hyalomma rufipes,"
"106","Hyalomma rufpes"
"107","Hyalomma trancatum"
"108","Hyalomma truncatum"
"109","Hyalomma variegatum"
"110","Hyalommaanato excavatum"
"111","Hyalommma truncatum"
"112","Hylomma aegyptium"
"113","Ixodes"
"114","Ixodes aulacodi"
"115","Ixodes cavipalpus"
"116","Ixodes cumulatimpunctatus"
"117","Ixodes loveridgei"
"118","Ixodes moreli"
"119","Ixodes muniensis"
"120","Ixodes oldi"
"121","Ixodes persulcatus"
"122","Ixodes pilosus"
"123","Ixodes rageaui"
"124","Ixodes rasus"
"125","Ixodes ribicundus"
"126","Ixodes ricinus"
"127","Ixodes scapularis"
"128","Ixodid larvae"
"129","Ixoodes verertiliomis"
"130","N.S"
"131","Ogadenus brumpti"
"132","Ornithodoros"
"133","Ornithodoros lahorensis"
"134","Ornithodoros moubata"
"135","Ornithodoros savignyi"
"136","Ornithodoros sonrai"
"137","Ornithodorus"
"138","Ornithodorus moubata"
"139","Ornithodorus savignyi"
"140","Otobius"
"141","Rhicephalus"
"142","Rhicephalus annulatus"
"143","Rhicephalus appendiculatus"
"144","Rhicephalus boophilus"
"145","Rhicephalus decoloratus"
"146","Rhicephalus evertsi"
"147","Rhicephalus evertsi evertsi"
"148","Rhicephalus geigyi"
"149","Rhicephalus guilhoni"
"150","Rhicephalus lunulatus"
"151","Rhicephalus microplus"
"152","Rhicephalus muhsamae"
"153","Rhicephalus pulchellus"
"154","Rhicephalus sanguineus"
"155","Rhicephalus senegalensis"
"156","Rhicephalus simus"
"157","Rhicephalus taunanicus"
"158","Rhicephalus turanicus"
"159","Rhicephalus(Boophilus)annulatus"
"160","Rhicephalus(Boophilus)microplus"
"161","Rhicephlus"
"162","Rhicephlus sanguineus"
"163","Rhipcephalus sanguineus"
"164","Rhiphicephalus"
"165","Rhiphicephalus microplus"
"166","Rhipicephadulus cuspidatus"
"167","Rhipicephadulus evertsi evertsi"
"168","Rhipicephadulus guihoni"
"169","Rhipicephadulus lunulatus"
"170","Rhipicephadulus mahsamae"
"171","Rhipicephadulus sanguineus"
"172","Rhipicephadulus senegalensis"
"173","Rhipicephadulus sulcatus"
"174","Rhipicephalus"
"175","Rhipicephalus  annulatus"
"176","Rhipicephalus (Boophilus) microplus"
"177","Rhipicephalus annulatus"
"178","Rhipicephalus appendiculata"
"179","Rhipicephalus appendiculatus"
"180","Rhipicephalus bursa"
"181","Rhipicephalus capensis"
"182","Rhipicephalus cliffordi"
"183","Rhipicephalus cuspidatus"
"184","Rhipicephalus decoloratu"
"185","Rhipicephalus decoloratus"
"186","Rhipicephalus everti"
"187","Rhipicephalus everts"
"188","Rhipicephalus evertsi"
"189","Rhipicephalus evertsi evertsi"
"190","Rhipicephalus excavatum"
"191","Rhipicephalus geigyi"
"192","Rhipicephalus guilhoni"
"193","Rhipicephalus longus"
"194","Rhipicephalus lunulatus"
"195","Rhipicephalus lunulatus,"
"196","Rhipicephalus lunutatus"
"197","Rhipicephalus microplus"
"198","Rhipicephalus mIcroplus"
"199","Rhipicephalus muhsamae"
"200","Rhipicephalus muhsamaei"
"201","Rhipicephalus mushamae"
"202","Rhipicephalus pulchellus"
"203","Rhipicephalus sanguinensis"
"204","Rhipicephalus sanguineus"
"205","Rhipicephalus sanguineus sensu lato"
"206","Rhipicephalus senegalensis"
"207","Rhipicephalus simpsoni"
"208","Rhipicephalus simus"
"209","Rhipicephalus simus senegalensis"
"210","Rhipicephalus species"
"211","Rhipicephalus sulcatus"
"212","Rhipicephalus sulcatus,"
"213","Rhipicephalus turanicus"
"214","Rhipicephalus zambeziensis"
"215","Rhipicephalus ziemanni"
"216","Rhipiqephalus lunulatus"
"217","Rhypicephalus sanquineus"
"218","xodes aulacodi"
